Scenario,Description,Activation,Neurons,Val_F1
4.1,4.1: LR Fixa (Sem Momentum),logistic,20,0.04260065198325363
4.1,4.1: LR Fixa (Sem Momentum),logistic,50,0.08174572331607492
4.1,4.1: LR Fixa (Sem Momentum),logistic,100,0.020563403828471122
4.1,4.1: LR Fixa (Sem Momentum),relu,20,0.33677757843843514
4.1,4.1: LR Fixa (Sem Momentum),relu,50,0.3774497211070598
4.1,4.1: LR Fixa (Sem Momentum),relu,100,0.3209085215602654
4.2,4.2: LR Variável (Sem Momentum),logistic,20,0.04260065198325363
4.2,4.2: LR Variável (Sem Momentum),logistic,50,0.21414003948156696
4.2,4.2: LR Variável (Sem Momentum),logistic,100,0.020563403828471122
4.2,4.2: LR Variável (Sem Momentum),relu,20,0.33677757843843514
4.2,4.2: LR Variável (Sem Momentum),relu,50,0.3774497211070598
4.2,4.2: LR Variável (Sem Momentum),relu,100,0.3209085215602654
4.3,4.3: LR Variável + Momentum,logistic,20,0.3935883642849002
4.3,4.3: LR Variável + Momentum,logistic,50,0.3681323188491211
4.3,4.3: LR Variável + Momentum,logistic,100,0.3962675473804092
4.3,4.3: LR Variável + Momentum,relu,20,0.3540472376782688
4.3,4.3: LR Variável + Momentum,relu,50,0.4584383988469286
4.3,4.3: LR Variável + Momentum,relu,100,0.4136475595454172
Ext,Extra: Adam (Benchmark),logistic,20,0.5346559585395326
Ext,Extra: Adam (Benchmark),logistic,50,0.4978465581933135
Ext,Extra: Adam (Benchmark),logistic,100,0.5020505536698949
Ext,Extra: Adam (Benchmark),relu,20,0.4634863346949262
Ext,Extra: Adam (Benchmark),relu,50,0.4239764233389262
Ext,Extra: Adam (Benchmark),relu,100,0.4555739362348353
