=== Significância Estatística (ACC - Left Lower Leg) ===
Atividade 1: média=9.7370, KS p=0.0000
Atividade 2: média=9.7316, KS p=0.0000
Atividade 3: média=9.7369, KS p=0.0000
Atividade 4: média=11.3961, KS p=0.0000
Atividade 5: média=11.2193, KS p=0.0000
Atividade 6: média=11.3672, KS p=0.0000
Atividade 7: média=11.1712, KS p=0.0000
Atividade 8: média=9.7655, KS p=0.0000
Atividade 9: média=9.7498, KS p=0.0000
Atividade 10: média=9.7519, KS p=0.0000
Atividade 11: média=9.7499, KS p=0.0000
Atividade 12: média=10.6586, KS p=0.0000
Atividade 13: média=9.7317, KS p=0.0000
Atividade 14: média=10.8012, KS p=0.0000
Atividade 15: média=11.4443, KS p=0.0000
Atividade 16: média=11.4775, KS p=0.0000
