=== Significância Estatística (GYRO - Chest) ===
Atividade 1: média=4.6927, KS p=0.0000
Atividade 2: média=2.6962, KS p=0.0000
Atividade 3: média=3.2271, KS p=0.0000
Atividade 4: média=43.3926, KS p=0.0000
Atividade 5: média=42.9530, KS p=0.0000
Atividade 6: média=60.3629, KS p=0.0000
Atividade 7: média=59.3142, KS p=0.0000
Atividade 8: média=16.8737, KS p=0.0000
Atividade 9: média=15.2864, KS p=0.0000
Atividade 10: média=15.3495, KS p=0.0000
Atividade 11: média=15.5245, KS p=0.0000
Atividade 12: média=26.0308, KS p=0.0000
Atividade 13: média=6.9980, KS p=0.0000
Atividade 14: média=36.3477, KS p=0.0000
Atividade 15: média=47.1548, KS p=0.0000
Atividade 16: média=48.8289, KS p=0.0000
