=== Significância Estatística (GYRO - Right Upper Leg) ===
Atividade 1: média=2.0359, KS p=0.0000
Atividade 2: média=0.6972, KS p=0.0000
Atividade 3: média=0.9427, KS p=0.0000
Atividade 4: média=91.4586, KS p=0.0000
Atividade 5: média=86.0653, KS p=0.0000
Atividade 6: média=109.5172, KS p=0.0000
Atividade 7: média=105.0732, KS p=0.0000
Atividade 8: média=14.5491, KS p=0.0000
Atividade 9: média=16.5579, KS p=0.0000
Atividade 10: média=14.7055, KS p=0.0000
Atividade 11: média=16.2158, KS p=0.0000
Atividade 12: média=57.0448, KS p=0.0000
Atividade 13: média=7.6384, KS p=0.0000
Atividade 14: média=86.2017, KS p=0.0000
Atividade 15: média=106.8799, KS p=0.0000
Atividade 16: média=94.3870, KS p=0.0000
