=== Significância Estatística (GYRO - Right Wrist) ===
Atividade 1: média=2.8045, KS p=0.0000
Atividade 2: média=0.9706, KS p=0.0000
Atividade 3: média=1.5236, KS p=0.0000
Atividade 4: média=73.8440, KS p=0.0000
Atividade 5: média=79.5688, KS p=0.0000
Atividade 6: média=83.9957, KS p=0.0000
Atividade 7: média=87.0004, KS p=0.0000
Atividade 8: média=21.6544, KS p=0.0000
Atividade 9: média=20.0840, KS p=0.0000
Atividade 10: média=18.8533, KS p=0.0000
Atividade 11: média=20.7399, KS p=0.0000
Atividade 12: média=43.5280, KS p=0.0000
Atividade 13: média=3.7069, KS p=0.0000
Atividade 14: média=52.4435, KS p=0.0000
Atividade 15: média=72.6239, KS p=0.0000
Atividade 16: média=78.1376, KS p=0.0000
