=== Significância Estatística (MAG - Left Lower Leg) ===
Atividade 1: média=0.8979, KS p=0.0000
Atividade 2: média=0.9960, KS p=0.0000
Atividade 3: média=0.9835, KS p=0.0000
Atividade 4: média=0.9455, KS p=0.0000
Atividade 5: média=0.9434, KS p=0.0000
Atividade 6: média=1.2611, KS p=0.0000
Atividade 7: média=1.2487, KS p=0.0000
Atividade 8: média=0.9968, KS p=0.0000
Atividade 9: média=0.9702, KS p=0.0000
Atividade 10: média=0.9818, KS p=0.0000
Atividade 11: média=0.9633, KS p=0.0000
Atividade 12: média=1.0094, KS p=0.0000
Atividade 13: média=0.8828, KS p=0.0000
Atividade 14: média=0.9867, KS p=0.0000
Atividade 15: média=0.9263, KS p=0.0000
Atividade 16: média=0.9235, KS p=0.0000
