=== Significância Estatística (MAG - Left Wrist) ===
Atividade 1: média=1.0755, KS p=0.0000
Atividade 2: média=1.2330, KS p=0.0000
Atividade 3: média=1.2338, KS p=0.0000
Atividade 4: média=1.0289, KS p=0.0000
Atividade 5: média=1.0253, KS p=0.0000
Atividade 6: média=1.1815, KS p=0.0000
Atividade 7: média=1.1811, KS p=0.0000
Atividade 8: média=1.2282, KS p=0.0000
Atividade 9: média=1.2080, KS p=0.0000
Atividade 10: média=1.2229, KS p=0.0000
Atividade 11: média=1.2034, KS p=0.0000
Atividade 12: média=1.0942, KS p=0.0000
Atividade 13: média=0.9989, KS p=0.0000
Atividade 14: média=1.0646, KS p=0.0000
Atividade 15: média=0.9974, KS p=0.0000
Atividade 16: média=0.9941, KS p=0.0000
