Num_Features,k,F1_Validation
1,1,0.1483068111310483
1,3,0.13657431020892388
1,5,0.14004913460691454
1,7,0.1402548993372083
1,9,0.14016102507740133
1,11,0.13952081044684123
1,13,0.13962066440206716
1,15,0.14068590777586912
2,1,0.11262926161021881
2,3,0.14458949793826822
2,5,0.13071724263386456
2,7,0.12343988778786046
2,9,0.13078511653946143
2,11,0.14029285500679484
2,13,0.13813542909884885
2,15,0.13396324888593433
3,1,0.18970194838331617
3,3,0.2031866466659195
3,5,0.2870196594122995
3,7,0.2974340476869822
3,9,0.2883172801630085
3,11,0.2857409022988166
3,13,0.2731725713455647
3,15,0.2723614017581928
4,1,0.1702714960907037
4,3,0.27897217162277993
4,5,0.2817121829613792
4,7,0.28433338898203087
4,9,0.2833346935224011
4,11,0.3007057201093182
4,13,0.2964492921379473
4,15,0.2981327802999564
5,1,0.18697702826625145
5,3,0.2874853528482636
5,5,0.28884519357302596
5,7,0.29381669788599124
5,9,0.29724305051173694
5,11,0.2889895918503496
5,13,0.2936750734134332
5,15,0.3029251557264611
6,1,0.1704296607985814
6,3,0.21452439059322762
6,5,0.2680101691996513
6,7,0.28151524350320606
6,9,0.28259315527329026
6,11,0.2824607705756898
6,13,0.28349286149474767
6,15,0.35032612233392196
7,1,0.21849809541364418
7,3,0.16670575655624456
7,5,0.22600436603881116
7,7,0.2952562579596325
7,9,0.29972040751829176
7,11,0.3036036739720843
7,13,0.27789898824003134
7,15,0.25938837538609105
8,1,0.2203650974297854
8,3,0.20951878982421632
8,5,0.2731615029212471
8,7,0.30118270749277004
8,9,0.3131022974727653
8,11,0.3071918676299816
8,13,0.29394624735204306
8,15,0.2826471498652186
9,1,0.16804901492131033
9,3,0.1757632846157699
9,5,0.2255740767433794
9,7,0.24272865331298574
9,9,0.25127706421033635
9,11,0.2538824800851813
9,13,0.24903047963818503
9,15,0.24522768246855717
10,1,0.17050559183677708
10,3,0.1734030144367408
10,5,0.2299647210918602
10,7,0.24624728044688204
10,9,0.25737088943475495
10,11,0.2585177169448564
10,13,0.25083007695340376
10,15,0.24564815115047792
11,1,0.04078303068653821
11,3,0.039950912684432016
11,5,0.03718390278470623
11,7,0.03830855449201339
11,9,0.039242817224690904
11,11,0.03399177277664066
11,13,0.03683128273022413
11,15,0.03532252345589416
12,1,0.0404119488839062
12,3,0.040381501416807276
12,5,0.040623799688416735
12,7,0.039848673985539006
12,9,0.03872378823604429
12,11,0.03712082248163835
12,13,0.03773996558806685
12,15,0.03768578792637197
13,1,0.04044883512722201
13,3,0.03954211164911332
13,5,0.04060083439241201
